City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
84,Roma,US,72.95,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
85,Berlevag,NO,58.8,clear sky,70.8578,29.0864,Kvitbrakka
86,Zhangye,CN,63.09,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
87,Atuona,PF,78.78,clear sky,-9.8,-139.0333,Villa Enata
88,Chifeng,CN,75.24,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
89,Lebu,CL,53.94,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
90,Tangkak,MY,76.87,overcast clouds,2.2673,102.5453,Lakeside Village Homestay 水乡民宿
91,Hakkari,TR,62.38,scattered clouds,37.5833,44.1667,Koprucek Koyu Muhtarligi
92,Hofn,IS,50.59,overcast clouds,64.2539,-15.2082,Hótel Höfn
93,Portland,US,71.92,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
94,Saint-Pierre,RE,69.48,few clouds,-21.3393,55.4781,Alize Plage
95,Sain Alto,MX,83.26,clear sky,23.5833,-103.25,Hotel Barraza
96,Saint Anthony,US,77.25,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
97,Sao Filipe,CV,76.93,broken clouds,14.8961,-24.4956,Hotel Xaguate
99,Wanaka,NZ,48.11,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
100,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
101,Faanui,PF,78.76,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,East London,ZA,54.54,clear sky,-33.0153,27.9116,Tu Casa
103,Hasaki,JP,63.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
104,Saint-Philippe,RE,69.39,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
105,Malpe,IN,81.7,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
106,Ilebo,CD,76.15,light rain,-4.3167,20.5833,Hôtel BUMAK
107,Khatanga,RU,47.91,overcast clouds,71.9667,102.5,"""Khatanga"""
108,Esperance,AU,57.47,overcast clouds,-33.8667,121.9,Hospitality Esperance
109,Seoul,KR,65.77,broken clouds,37.5683,126.9778,롯데호텔 서울
110,Port Elizabeth,ZA,53.1,clear sky,-33.918,25.5701,39 On Nile Guest House
111,Udachnyy,RU,52.45,overcast clouds,66.4167,112.4,Severnoye Siyaniye
112,Hit,IQ,97.03,overcast clouds,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
113,Figeac,FR,79.18,overcast clouds,44.75,1.9167,Maison de vacances Chalet Le Lac Bleu 27
114,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
115,Castro,BR,59.74,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
117,Cuencame,MX,88.34,clear sky,24.8711,-103.6964,HOTEL RICOME
118,Tsumeb,,56.84,clear sky,-19.2333,17.7167,TeaterHuis Guest House
119,Tagusao,PH,79.66,overcast clouds,9.1924,117.8141,Green Villa beach resort
120,Huangnihe,CN,47.8,overcast clouds,43.5583,128.0239,Jinxin Bathing Fashion Hotel
121,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
122,Bredasdorp,ZA,53.02,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
123,Port Augusta,AU,50.85,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
